"Expressão Original (Pergunta)","Expressão em 1ª Pessoa","Sintoma Cardiovascular","Grau de Risco","Diagnóstico Cardíaco Principal Associado"
"Sente falta de ar ao deitar ou precisa usar mais de um travesseiro?","Sinto falta de ar ao deitar ou preciso usar mais de um travesseiro.","Ortopneia","Alto Risco","Insuficiência Cardíaca Congestiva (ICC)"
"Percebeu inchaço nas pernas ou tornozelos?","Percebi inchaço nas pernas ou tornozelos.","Edema de Membros Inferiores","Médio Risco","Insuficiência Cardíaca Direita"
"Notou palpitações ou batimentos cardíacos irregulares?","Notei palpitações ou batimentos cardíacos irregulares.","Palpitações (Arritmia)","Médio Risco","Fibrilação Atrial (FA) / Taquicardia"
"Sente dor ou pressão no peito ao fazer esforço físico?","Sinto dor ou pressão no peito ao fazer esforço físico.","Angina de Esforço","Alto Risco","Doença Arterial Coronariana (DAC)"
"Já acordou à noite com falta de ar súbita?","Já acordei à noite com falta de ar súbita.","Dispneia Paroxística Noturna (DPN)","Alto Risco","Insuficiência Ventricular Esquerda Aguda"
"Observou coloração azulada nos lábios ou extremidades?","Observei coloração azulada nos lábios ou extremidades (cianose).","Cianose","Alto Risco","Cardiopatia Congênita / Choque Cardiogênico / Insuficiência Respiratória Grave"
"Tem sentido tontura ou desmaios, especialmente ao levantar-se?","Tenho sentido tontura ou desmaios, especialmente ao levantar-me.","Síncope / Hipotensão Postural","Alto Risco","Bloqueios Cardíacos / Estenose Aórtica"
"O(a) senhor(a) percebe pulsação forte ou visível no pescoço?","Percebo pulsação forte ou visível no pescoço.","Estase Jugular","Alto Risco","Insuficiência Cardíaca Descompensada / Tamponamento Cardíaco"
"Sente dor ou desconforto ao inspirar profundamente?","Sinto dor ou desconforto ao inspirar profundamente.","Dor Pleurítica","Médio Risco","Pericardite / Embolia Pulmonar"
"Notou batimentos cardíacos muito acelerados ou lentos?","Notei batimentos cardíacos muito acelerados ou lentos.","Taquicardia / Bradicardia","Médio Risco","Arritmias (Taqui/Bradi)"
"Já percebeu sopros ou ruídos diferentes ao ouvir o próprio coração?","Já percebi sopros ou ruídos diferentes ao ouvir o próprio coração.","Sopros Cardíacos","Médio Risco","Valvulopatia (Ex: Estenose Mitral/Aórtica)"
"Sente dor ou desconforto ao pressionar o tórax?","Sinto dor ou desconforto ao pressionar o tórax.","Dor Torácica à Palpação","Baixo Risco","Dor Musculoesquelética / Costocondrite"
"Observou abaulamentos ou retrações no tórax ao respirar?","Observei abaulamentos ou retrações no tórax ao respirar.","Alteração na Parede Torácica","Baixo Risco","Cardiomegalia Crônica"
"Sente dor nas pernas ao caminhar, que melhora ao repousar?","Sinto dor nas pernas ao caminhar, que melhora ao repousar.","Claudicação Intermitente","Médio Risco","Doença Arterial Obstrutiva Periférica (DAOP)"
"Notou aumento do volume abdominal ou sensação de barriga inchada?","Notei aumento do volume abdominal ou sensação de barriga inchada.","Ascite / Hepatomegalia","Médio Risco","Insuficiência Cardíaca Direita (Avançada)"
"O(a) senhor(a) percebe pulsação no abdome?","Percebo pulsação no abdome.","Pulsação Aórtica","Alto Risco","Aneurisma da Aorta Abdominal (AAA)"
"Já percebeu tremores ou vibrações no peito ao colocar a mão sobre o coração?","Já percebi tremores ou vibrações no peito ao colocar a mão sobre o coração.","Frêmito (Vibração de sopro)","Médio Risco","Valvulopatia Grave"
"Sente dor de cabeça associada a pressão alta?","Sinto dor de cabeça associada a pressão alta.","Cefaleia Hipertensiva","Médio Risco","Crise Hipertensiva"
"Notou suor frio e excessivo de repente?","Notei suor frio e excessivo de repente.","Diaforese (suor frio)","Alto Risco","Infarto Agudo do Miocárdio / Choque Cardiogênico"
"Já percebeu alteração na cor da urina ou diminuição do volume urinário?","Já percebi alteração na cor da urina ou diminuição do volume urinário.","Oligúria / Insuficiência Renal","Alto Risco","Síndrome Cardiorrenal / Choque"
"Sente um cansaço extremo ou fadiga que não melhora com o repouso?","Sinto um cansaço extremo ou fadiga que não melhora com o repouso.","Fadiga Crônica","Médio Risco","Insuficiência Cardíaca / Miocardite"
"Tem tido uma tosse seca e persistente, principalmente à noite?","Tenho tido uma tosse seca e persistente, principalmente à noite.","Tosse Noturna Persistente","Médio Risco","Insuficiência Cardíaca (Congestão Pulmonar)"
"Notou perda de apetite ou sente náuseas com frequência?","Notei perda de apetite ou sinto náuseas com frequência.","Náusea / Anorexia","Baixo Risco","Insuficiência Cardíaca Avançada (Congestão Hepática)"
"Tem se sentido confuso(a) ou com dificuldade para se concentrar?","Tenho me sentido confuso(a) ou com dificuldade para me concentrar.","Confusão Mental / Baixo Débito Cerebral","Alto Risco","Choque Cardiogênico / Insuficiência Cardíaca Grave"
"Ganhou peso rapidamente, como 1-2 quilos em um dia ou 3 em uma semana?","Ganhei peso rapidamente, sem explicação.","Ganho de Peso Súbito (Edema)","Médio Risco","Insuficiência Cardíaca Descompensada"
"A dor no peito se espalha para o braço esquerdo, mandíbula ou costas?","A minha dor no peito se espalha para o braço, mandíbula ou costas.","Dor Irradiada (Angina Instável)","Alto Risco","Infarto Agudo do Miocárdio (IAM)"
"Sua pele fica pálida, fria e úmida de repente?","Minha pele fica pálida, fria e úmida de repente.","Palidez Cutânea e Sudorese Fria","Alto Risco","Choque Cardiogênico / Infarto Agudo do Miocárdio"
"Sente as mãos ou os pés frequentemente frios?","Sinto as mãos ou os pés frequentemente frios.","Extremidades Frias","Baixo Risco","Baixo Débito Cardíaco / Doença Arterial Periférica"
"Sente uma dor no peito súbita, excruciante, como se estivesse rasgando, que se irradia para as costas?","Sinto uma dor no peito súbita, excruciante, como se estivesse rasgando, que se irradia para as costas.","Dor torácica 'em rasgo' com irradiação dorsal","Alto Risco","Dissecção Aguda da Aorta"
"A dor no peito melhora ao sentar-se e inclinar-se para a frente e piora ao deitar ou respirar fundo?","A minha dor no peito melhora ao sentar-me e inclinar-me para a frente e piora ao deitar ou respirar fundo.","Dor pericárdica (Posicional/Pleurítica)","Médio Risco","Pericardite Aguda"
"Além da falta de ar súbita, você sente dor no peito e tem tosse com sangue?","Além da falta de ar súbita, sinto dor no peito e tenho tosse com sangue.","Dispneia súbita com dor torácica e hemoptise","Alto Risco","Embolia Pulmonar (EP)"
"Notou manchas vermelhas ou dolorosas nas palmas das mãos ou plantas dos pés, ou pequenas hemorragias sob as unhas?","Notei manchas vermelhas nas palmas das mãos/pés e pequenas linhas escuras sob as unhas.","Lesões de Janeway / Nódulos de Osler / Hemorragias subungueais","Alto Risco","Endocardite Infecciosa"
"Disseram-me que tenho um 'ritmo de galope' no coração ou um som extra.","Disseram-me que tenho um 'ritmo de galope' no coração ou um som extra.","B3 (Terceira Bulha Cardíaca)","Médio Risco","Insuficiência Cardíaca (Disfunção Sistólica)"
"Disseram-me que meu coração tem um som extra por ser 'rígido' ou por causa da pressão alta.","Disseram-me que meu coração tem um som extra por ser 'rígido' ou por causa da pressão alta.","B4 (Quarta Bulha Cardíaca)","Médio Risco","Disfunção Diastólica (Ex: HAS, Cardiomiopatia Hipertrófica)"
"Você tem acordado muitas vezes à noite para urinar, mais do que o habitual?","Tenho acordado muitas vezes à noite para urinar.","Noctúria","Baixo Risco","Insuficiência Cardíaca Congestiva (Reabsorção de edema)"
"Você sente falta de ar ao se inclinar para a frente, como para amarrar os sapatos?","Sinto falta de ar quando me inclino para a frente.","Bendopneia","Médio Risco","Insuficiência Cardíaca Avançada"
"Sente náuseas ou dor de estômago junto com o desconforto no peito?","Sinto náuseas e dor de estômago com o desconforto no peito.","Sintomas Gastrointestinais (IAM Inferior)","Alto Risco","Infarto Agudo do Miocárdio (Apresentação Atípica)"
"Sentiu uma ansiedade extrema ou uma sensação de morte iminente junto com outros sintomas?","Senti uma ansiedade terrível, uma sensação de que ia morrer.","Sensação de Morte Iminente (Angor Animi)","Alto Risco","Infarto Agudo do Miocárdio / Embolia Pulmonar Maciça"
"Sente falta de ar ao fazer esforço, mas sem dor no peito?","Sinto falta de ar quando me esforço, mas não sinto dor.","Dispneia como Equivalente Anginoso","Alto Risco","Doença Arterial Coronariana (DAC)"
"Teve um desmaio ou confusão mental súbita como único sintoma?","Tive um desmaio/confusão mental de repente, sem sentir mais nada.","Síncope/Confusão como Equivalente Anginoso (Idosos)","Alto Risco","Infarto Agudo do Miocárdio (Apresentação Atípica)"
"Sua dor no peito começou a aparecer mesmo em repouso ou te acorda à noite?","Minha dor no peito agora aparece até quando estou parado.","Angina de Repouso (Angina Instável)","Alto Risco","Síndrome Coronariana Aguda (SCA)"
"Sente dor no peito sempre no mesmo horário, geralmente de madrugada ou pela manhã, em repouso?","Sinto dor no peito em ciclos, quase sempre de madrugada.","Angina de Prinzmetal (Vasoespástica)","Médio Risco","Angina Vasoespástica"
"Sente dor na parte de cima da barriga (estômago) quando faz esforço físico?","Sinto dor na boca do estômago quando faço esforço.","Angina Abdominal","Alto Risco","Doença Arterial Coronariana (DAC)"
"A dor no peito aparece logo depois de comer uma refeição grande?","Sinto dor no peito depois de comer muito.","Angina Pós-prandial","Médio Risco","Doença Arterial Coronariana (DAC)"
"Seus exames mostraram alteração no coração, mesmo você não sentindo nada?","Meus exames mostraram um problema, mas eu não sinto nada.","Isquemia Silenciosa","Médio Risco","Doença Arterial Coronariana (DAC)"
"Você desmaia ou fica muito tonto(a) durante o esforço físico?","Eu desmaio ou fico muito tonto se faço esforço.","Síncope de Esforço","Alto Risco","Estenose Aórtica / Cardiomiopatia Hipertrófica"
"Sente o coração bater forte e pulsando no pescoço, principalmente ao deitar do lado esquerdo?","Sinto o coração martelando no peito e pescoço.","Palpitações Hipercinéticas","Médio Risco","Insuficiência Aórtica"
"Já notou sua cabeça balançando levemente no ritmo do coração?","Notei minha cabeça balançando no ritmo dos batimentos.","Sinal de Musset","Médio Risco","Insuficiência Aórtica Grave"
"Já notou a pulsação nos seus dedos ou unhas?","Consigo ver minhas unhas pulsando.","Pulso de Quincke","Médio Risco","Insuficiência Aórtica Grave"
"Já teve tosse com sangue depois de um esforço intenso?","Já tussi sangue depois de me esforçar muito.","Hemoptise de Esforço","Alto Risco","Estenose Mitral"
"Você tem manchas arroxeadas ou rosadas no rosto, especialmente nas bochechas?","Tenho o rosto meio arroxeado, principalmente as bochechas.","Fácies Mitral","Médio Risco","Estenose Mitral Grave"
"Sente umas pontadas no peito, não relacionadas a esforço, junto com palpitações?","Sinto umas agulhadas no peito e o coração dispara.","Dor Torácica Atípica (Prolapso Mitral)","Baixo Risco","Prolapso da Válvula Mitral (PVM)"
"Além do coração acelerado, você se sente muito ansioso(a) e cansado(a)?","Junto com as palpitações, sinto muita ansiedade e cansaço.","Síndrome do Prolapso da Válvula Mitral","Baixo Risco","Prolapso da Válvula Mitral (PVM)"
"Sente uma pulsação no lado direito da barriga e uma sensação de inchaço?","Sinto pulsar e inchaço no lado direito da barriga.","Pulsação Hepática","Médio Risco","Insuficiência Tricúspide Grave"
"As veias do seu pescoço parecem 'saltar' ou 'dançar' visivelmente?","As veias do meu pescoço pulam muito.","Onda 'CV' Gigante em Pulso Venoso Jugular","Médio Risco","Insuficiência Tricúspide Grave"
"Você se cansa muito fácil desde criança, mais que as outras pessoas?","Desde pequeno me canso mais que meus amigos.","Intolerância ao Esforço (Congênita)","Baixo Risco","Cardiopatia Congênita (Ex: Estenose Pulmonar)"
"O médico disse que seu sopro no coração vai para o pescoço?","O médico disse que meu sopro sobe para o pescoço.","Irradiação de Sopro Sistólico para Carótidas","Médio Risco","Estenose Aórtica"
"O médico disse que você tem um sopro que soa como um 'assobio' ou 'aspirado'?","O médico falou que meu sopro parece um assobio.","Sopro Diastólico Aspirativo","Médio Risco","Insuficiência Aórtica"
"Alguém já disse que sua respiração para por uns segundos enquanto você dorme?","Me falaram que minha respiração para e volta durante o sono.","Respiração de Cheyne-Stokes","Alto Risco","Insuficiência Cardíaca Grave (Baixo Débito)"
"Você perdeu muito peso e músculos sem querer e se sente extremamente fraco?","Estou 'secando', perdi muito peso e força sem motivo.","Caquexia Cardíaca","Alto Risco","Insuficiência Cardíaca Terminal"
"Já teve uma crise de falta de ar súbita e tossiu uma espuma rosa?","Tive uma falta de ar terrível e tussi uma espuma rosada.","Edema Agudo de Pulmão 'Flash'","Alto Risco","Crise Hipertensiva / Estenose de Artéria Renal"
"Seu coração é acelerado mesmo em repouso e sua pele é quente?","Meu coração não descansa, está sempre rápido, e minha pele é quente.","Estado Hiperdinâmico","Médio Risco","Insuficiência Cardíaca de Alto Débito (Ex: Anemia, Hipertireoidismo)"
"Você é jovem e sente muita falta de ar ou dor no peito ao praticar esportes?","Sou novo mas sinto dor/falta de ar ao jogar bola.","Dispneia/Angina em Jovem","Alto Risco","Cardiomiopatia Hipertrófica (CMH)"
"Você tem casos na família de jovens que tiveram morte súbita?","Tenho parentes que morreram do coração de repente, ainda jovens.","História Familiar de Morte Súbita","Alto Risco","Cardiomiopatia Hipertrófica / Canalopatias"
"Você se sente cansado e com falta de ar, e os médicos não acharam problema nas artérias?","Me sinto cansado e com falta de ar, mas meu cateterismo foi normal.","Sintomas de IC com Coronárias Normais","Médio Risco","Cardiomiopatia Dilatada"
"Os médicos disseram que seu coração é 'duro' ou 'rígido'?","O médico disse que meu coração é rígido.","Sintomas de Disfunção Diastólica","Médio Risco","Cardiomiopatia Restritiva / Amiloidose Cardíaca"
"Você é jovem e desmaia ou tem palpitações durante o exercício?","Sou jovem e passo mal ou desmaio na educação física.","Síncope/Arritmia de Esforço em Jovem","Alto Risco","Cardiomiopatia Arritmogênica do VD (CAVD)"
"Teve sintomas de infarto logo após um grande estresse emocional?","Passei por um susto muito grande e logo depois meu coração 'partiu'.","Síndrome do Coração Partido (Takotsubo)","Médio Risco","Cardiomiopatia de Takotsubo"
"Seu coração dispara e você fica tonto(a) e cansado(a) só de ficar em pé?","Ficar em pé é um suplício, meu coração acelera e fico tonto.","Taquicardia Postural Ortostática (POTS)","Baixo Risco","Síndrome de Taquicardia Postural Ortostática"
"Seu coração bate rápido e totalmente fora de ritmo?","Meu coração parece um 'samba doido', rápido e bagunçado.","Fibrilação Atrial de Alta Resposta (FAAR)","Alto Risco","Fibrilação Atrial Descompensada"
"Você sente que seu coração às vezes fica muito lento e outras vezes dispara?","Meu coração não tem controle, às vezes quase para, às vezes dispara.","Síndrome Bradicardia-Taquicardia","Médio Risco","Disfunção do Nó Sinusal"
"Sente pausas longas no coração que te deixam quase desmaiando?","Sinto umas pausas longas no coração que me dão tontura.","Pausas Sinusais / Bloqueio Atrioventricular Avançado","Alto Risco","Disfunção do Nó Sinusal / Bloqueio AV"
"O médico disse que ouviu um som de 'couro rangendo' no seu coração?","O médico ouviu um 'rangido' no meu coração.","Atrito Pericárdico","Médio Risco","Pericardite Aguda"
"Seu pulso fica bem mais fraco quando você inspira fundo?","Meu pulso some quando puxo o ar fundo.","Pulso Paradoxal","Alto Risco","Tamponamento Cardíaco"
"As veias do seu pescoço incham quando você inspira, em vez de murchar?","Minhas veias do pescoço estufam quando puxo o ar.","Sinal de Kussmaul","Alto Risco","Pericardite Constritiva / Cardiomiopatia Restritiva"
"Tem placas amareladas de gordura na pele das pálpebras?","Tenho umas bolsas de gordura amarelas nas pálpebras.","Xantelasma","Baixo Risco","Hipercolesterolemia"
"Tem nódulos ou bolas de gordura nos tendões (calcanhar, cotovelo)?","Tenho umas bolas de gordura nos tendões.","Xantomas Tendíneos","Médio Risco","Hipercolesterolemia Familiar"
"Tem um anel cinza ou branco ao redor da parte colorida do seu olho?","Tenho um círculo cinza em volta da cor do meu olho.","Arco Corneano","Baixo Risco","Hipercolesterolemia"
"As pontas dos seus dedos ficaram mais largas e arredondadas?","A ponta dos meus dedos está ficando redonda e larga.","Baqueteamento Digital","Médio Risco","Cardiopatia Congênita Cianótica / Endocardite"
"O médico disse que ouviu um sopro na artéria do seu pescoço?","O médico disse que tenho um sopro no pescoço.","Sopro Carotídeo","Médio Risco","Doença Aterosclerótica Carotídea"
"Sua pressão é muito alta e difícil de controlar?","Minha pressão é altíssima e não baixa com remédios.","Hipertensão Refratária","Alto Risco","Estenose de Artéria Renal"
"Sente uma dor constante e profunda na barriga ou nas costas?","Sinto uma dor funda e constante na barriga/costas.","Dor por Expansão de Aneurisma","Alto Risco","Aneurisma da Aorta Abdominal (AAA) em Expansão"
"Seu braço fica inchado e azulado, especialmente depois de usá-lo?","Meu braço incha e fica roxo quando faço esforço com ele.","Trombose de Esforço (Síndrome de Paget-Schroetter)","Médio Risco","Síndrome do Desfiladeiro Torácico (Vascular)"
"Seus dedos mudam de cor (branco, azul, vermelho) no frio?","Meus dedos ficam brancos e doem no frio.","Fenômeno de Raynaud","Baixo Risco","Fenômeno de Raynaud (Pode ser associado a doenças do colágeno)"
"Sente uma queimação e vermelhidão dolorosa nos pés que alivia com frio?","Meus pés queimam e ficam vermelhos, só melhora com frio.","Eritromelalgia","Baixo Risco","Eritromelalgia (Pode ser secundária a distúrbios mieloproliferativos)"
"Sua pele tem um aspecto de 'mapa' ou 'renda' arroxeada?","Minha pele parece uma renda roxa.","Livedo Reticular","Baixo Risco","Síndrome do Anticorpo Antifosfolípide / Vasculites"
"A pressão medida na sua perna é muito mais baixa que a do braço?","A pressão no meu tornozelo é bem mais baixa que no braço.","Índice Tornozelo-Braquial (ITB) Baixo","Médio Risco","Doença Arterial Obstrutiva Periférica (DAOP)"
"A pressão entre seus dois braços dá uma diferença muito grande?","A pressão de um braço é muito diferente da do outro.","Diferença de Pressão Interbraços","Alto Risco","Dissecção de Aorta / Estenose de Artéria Subclávia"
"Você ficou rouco(a) de repente sem ter um resfriado?","Fiquei rouco do nada, e não passa.","Rouquidão (Síndrome de Ortner)","Médio Risco","Compressão do Nervo Laríngeo Recorrente (por Aneurisma/Cardiomegalia)"
"Você tem uma tosse que não passa com uma secreção tipo espuma?","Tenho uma tosse crônica com espuma.","Edema Pulmonar Crônico","Médio Risco","Insuficiência Cardíaca"
"Teve dor no peito e falta de ar, mas disseram que era ansiedade?","Tive uma crise de dor no peito e disseram que era pânico.","Ataque de Pânico (Diagnóstico Diferencial de SCA)","Baixo Risco","Transtorno de Ansiedade / Pânico"
"Você se sentiu deprimido(a) e sem energia depois de um evento cardíaco?","Depois do infarto, perdi a vontade de tudo.","Depressão Pós-Infarto","Baixo Risco","Transtorno Depressivo"
"Sente um cansaço extremo desde que começou um novo remédio para o coração?","Depois que comecei o remédio novo, vivo cansado.","Fadiga Induzida por Betabloqueador","Baixo Risco","Efeito Colateral de Medicações"
"Começou a ter uma tosse seca e chata depois de iniciar um remédio para pressão?","Tenho uma tosse seca que me irrita desde que mudei o remédio da pressão.","Tosse Induzida por Inibidor da ECA","Baixo Risco","Efeito Colateral de Medicações"
